Ticker	P_E	P_Free_Cash_Flow	Dividend_Yield	EPS_growth_this_year	Return_on_Equity	LT_Debt_Equity
DE	11.02	392.69	2.6	-5.1	37.7	2.69
DFS	12.38	NA	1.59	-1.2	21	2.03
DG	21.53	23.9	NA	11.2	20	0.5
DGX	18.99	23.42	2.12	-28.5	13.4	0.75
DHI	17.86	NA	0.92	15	13.7	0.71
DHR	24.15	21.05	0.46	-4.2	11.1	0.15
DIS	23.23	33.76	1.1	26	17.5	0.28
DISCA	14.66	11.75	NA	18.7	23.2	1.05
DISCK	17.46	NA	NA	16.9	NA	NA
DLPH	17.69	23.5	1.26	15.2	47	0.96
DLTR	26.61	31.05	NA	1.5	43.9	0.48
DNB	16.95	NA	1.37	22	-27.4	NA
DNR	4.92	NA	2.81	63.1	12.2	0.67
DO	12.15	NA	1.46	-28.9	8.6	0.45
DOV	16.02	22.03	2.15	0.2	30.1	0.61
DOW	17.26	NA	3.39	-15.5	15.9	1.02
DPS	22.14	28.48	2.44	16.7	30.7	1.13
DRI	100.34	NA	3.54	-23.3	40.7	0.72
DTE	16.28	NA	3.32	35.2	11.1	1
DTV	16.1	13.94	NA	4.4	-45.6	NA
DUK	22.62	47.93	4.04	-4.7	4.3	0.93
DVA	22.15	19.22	NA	15.2	14.8	1.62
DVN	16.32	NA	1.5	-48.3	8.9	0.46
EA	22.53	16.69	NA	-90.3	32.3	0.01
EBAY	1160.4	15.93	NA	-98.2	0.2	0.34
ECL	29.85	47.67	1.17	34.5	15.6	0.63
ED	15.07	NA	4.08	-6.5	10	0.86
EFX	43.14	28.03	1.24	23.9	14.7	0.49
EIX	16.1	NA	2.61	-41.3	14.6	0.94
EL	28.01	32.78	1.17	18.6	30	0.35
EMC	21.83	14.22	1.58	-1.5	18.3	0.25
EMN	10.7	16.86	2.12	154.8	28.2	1.17
EMR	18.63	25.09	3.2	10.1	21.6	0.35
EOG	16.38	140.55	0.74	282.9	18.5	0.33
EQR	47.67	NA	2.54	337.1	7.9	1.05
EQT	32.07	NA	0.15	28.4	8.9	0.62
ES	20.36	NA	3.18	31.7	10.4	0.83
ESRX	34.16	15.51	NA	28.3	9.1	0.57
ESS	140.72	NA	2.3	4.2	3.4	0.88
ESV	13.78	NA	10.08	16.2	1.6	0.5
ETFC	26.15	NA	NA	244.8	5.6	0.58
ETN	19.23	NA	2.7	-3.6	10.8	0.51
ETR	15.17	NA	4.19	30.8	9.5	1.15
EW	17.88	NA	NA	118.7	43.3	0.27
EXC	17.76	NA	3.71	-6	7.5	0.89
EXPD	25.14	42.66	1.41	7	18.4	0
EXPE	30.77	12.26	0.78	79	21.1	0.98
F	20.76	12.74	3.66	-54.8	12.2	3.38
FAST	25.76	951.38	2.62	9.9	26.4	0
FB	74.67	61.67	NA	83.3	18.8	0
FDO	36.07	NA	1.58	-35	15	0.18
FDX	22.51	58.33	0.45	37.2	15.2	0.3
